Id,Time[ns],Parallel: Items
112,6251650.00000000000000000000,E3
113,6254800.00000000000000000000,64
114,6254810.00000000000000000000,04
115,6257950.00000000000000000000,F5
116,6261110.00000000000000000000,FF
117,6261120.00000000000000000000,AF
118,6264260.00000000000000000000,BF
119,6264270.00000000000000000000,3E
120,6264280.00000000000000000000,36
121,6267420.00000000000000000000,35
122,6267430.00000000000000000000,05
123,6270580.00000000000000000000,B5
124,6270590.00000000000000000000,B1
125,6273730.00000000000000000000,B5
126,6273740.00000000000000000000,95
127,6276890.00000000000000000000,D4
128,6276900.00000000000000000000,C4
129,6280050.00000000000000000000,CD
130,6280060.00000000000000000000,C9
131,6283210.00000000000000000000,08
132,6286360.00000000000000000000,99
133,6289510.00000000000000000000,B9
134,6289520.00000000000000000000,39
135,6289530.00000000000000000000,21
136,6292670.00000000000000000000,35
137,6295830.00000000000000000000,3C
138,6295840.00000000000000000000,08
139,6298980.00000000000000000000,DA
140,6298990.00000000000000000000,DB
141,6302140.00000000000000000000,5B
142,6302150.00000000000000000000,13
143,6305290.00000000000000000000,53
144,6305300.00000000000000000000,C6
145,6308450.00000000000000000000,D7
146,6308460.00000000000000000000,D1
147,6308470.00000000000000000000,91
148,6311610.00000000000000000000,33
149,6314770.00000000000000000000,22
150,6317920.00000000000000000000,33
151,6317930.00000000000000000000,13
152,6321080.00000000000000000000,19
153,6324230.00000000000000000000,1F
154,6324240.00000000000000000000,1E
155,6327390.00000000000000000000,5F
156,6327400.00000000000000000000,57
157,6330540.00000000000000000000,77
158,6330550.00000000000000000000,FF
159,6333710.00000000000000000000,33
160,6336860.00000000000000000000,3A
161,6340020.00000000000000000000,1A
162,6340030.00000000000000000000,12
163,6343170.00000000000000000000,8E
164,6346330.00000000000000000000,BD
165,6346340.00000000000000000000,B9
166,6349480.00000000000000000000,ED
167,6352640.00000000000000000000,FF
168,6352650.00000000000000000000,D3
169,6355790.00000000000000000000,F3
170,6355820.00000000000000000000,E3
171,6358950.00000000000000000000,EB
172,6362110.00000000000000000000,FB
173,6362120.00000000000000000000,D3
174,6365260.00000000000000000000,F7
175,6365270.00000000000000000000,F4
176,6368420.00000000000000000000,76
177,6368430.00000000000000000000,52
178,6371580.00000000000000000000,4F
179,6374730.00000000000000000000,6F
180,6374740.00000000000000000000,22
181,6377890.00000000000000000000,B3
182,6381040.00000000000000000000,F3
183,6381050.00000000000000000000,F9
184,6381060.00000000000000000000,D9
185,6384200.00000000000000000000,FB
186,6384210.00000000000000000000,FA
187,6384220.00000000000000000000,F2
188,6387360.00000000000000000000,7A
189,6387370.00000000000000000000,0A
190,6390510.00000000000000000000,AA
191,6390520.00000000000000000000,A9
192,6393670.00000000000000000000,2B
193,6393680.00000000000000000000,02
194,6396830.00000000000000000000,29
195,6399980.00000000000000000000,3B
196,6399990.00000000000000000000,3A
197,6403140.00000000000000000000,3C
198,6403150.00000000000000000000,1C
199,6406290.00000000000000000000,5C
200,6406300.00000000000000000000,5D
201,6409450.00000000000000000000,FD
202,6409460.00000000000000000000,A5
203,6412610.00000000000000000000,B7
204,6412620.00000000000000000000,97
205,6415760.00000000000000000000,F7
206,6415770.00000000000000000000,77
207,6418920.00000000000000000000,F5
208,6418930.00000000000000000000,91
209,6422080.00000000000000000000,F4
210,6422090.00000000000000000000,E4
211,6425230.00000000000000000000,EE
212,6425240.00000000000000000000,CA
213,6428390.00000000000000000000,EB
214,6428400.00000000000000000000,E3
215,6431540.00000000000000000000,F3
216,6431550.00000000000000000000,33
217,6431560.00000000000000000000,13
218,6434700.00000000000000000000,DB
219,6437860.00000000000000000000,D8
220,6437870.00000000000000000000,88
221,6441010.00000000000000000000,D8
222,6441020.00000000000000000000,50
223,6444170.00000000000000000000,7D
224,6444180.00000000000000000000,3D
225,6447330.00000000000000000000,3E
226,6450480.00000000000000000000,3F
227,6450490.00000000000000000000,21
228,6453640.00000000000000000000,34
229,6456800.00000000000000000000,A5
230,6459950.00000000000000000000,77
231,6459960.00000000000000000000,57
232,6463110.00000000000000000000,D7
233,6463120.00000000000000000000,C7
234,6466260.00000000000000000000,EF
235,6466270.00000000000000000000,6D
236,6469420.00000000000000000000,6F
237,6469430.00000000000000000000,03
238,6472570.00000000000000000000,13
239,6472580.00000000000000000000,14
240,6475730.00000000000000000000,2C
241,6475740.00000000000000000000,3C
242,6475750.00000000000000000000,28
243,6478890.00000000000000000000,68
244,6482050.00000000000000000000,CB
245,6485210.00000000000000000000,01
246,6488360.00000000000000000000,2B
247,6491510.00000000000000000000,3B
248,6491530.00000000000000000000,33
249,6494680.00000000000000000000,03
250,6497830.00000000000000000000,28
251,6500980.00000000000000000000,3D
252,6504140.00000000000000000000,3C
253,6504150.00000000000000000000,34
254,6507290.00000000000000000000,BC
255,6507300.00000000000000000000,AC
256,6510450.00000000000000000000,EC
257,6510460.00000000000000000000,E0
258,6513610.00000000000000000000,74
259,6513620.00000000000000000000,34
260,6516760.00000000000000000000,B4
261,6519920.00000000000000000000,7D
262,6519930.00000000000000000000,59
263,6523070.00000000000000000000,79
264,6523080.00000000000000000000,FC
265,6523090.00000000000000000000,F4
266,6526230.00000000000000000000,F5
267,6526240.00000000000000000000,35
268,6529390.00000000000000000000,37
269,6529400.00000000000000000000,23
270,6532540.00000000000000000000,33
271,6532550.00000000000000000000,3A
272,6535700.00000000000000000000,FA
273,6538860.00000000000000000000,FC
274,6538870.00000000000000000000,EC
275,6542010.00000000000000000000,EE
276,6542020.00000000000000000000,6E
277,6542030.00000000000000000000,2E
278,6545170.00000000000000000000,CF
279,6548320.00000000000000000000,EF
280,6548330.00000000000000000000,EE
281,6548340.00000000000000000000,E2
282,6551480.00000000000000000000,F3
283,6551490.00000000000000000000,31
284,6551500.00000000000000000000,11
285,6554640.00000000000000000000,95
286,6554650.00000000000000000000,85
287,6557790.00000000000000000000,C5
288,6557800.00000000000000000000,44
289,6560950.00000000000000000000,7E
290,6564110.00000000000000000000,7D
291,6564120.00000000000000000000,75
292,6567260.00000000000000000000,FD
293,6567270.00000000000000000000,9D
294,6570420.00000000000000000000,3D
295,6570430.00000000000000000000,39
296,6570440.00000000000000000000,31
297,6573580.00000000000000000000,07
298,6576730.00000000000000000000,A7
299,6576740.00000000000000000000,A6
300,6579890.00000000000000000000,6D
301,6583040.00000000000000000000,7D
302,6583060.00000000000000000000,79
303,6586200.00000000000000000000,F1
304,6589360.00000000000000000000,7A
305,6589370.00000000000000000000,3A
306,6592510.00000000000000000000,3B
307,6592520.00000000000000000000,09
308,6595670.00000000000000000000,78
309,6598830.00000000000000000000,1A
310,6601980.00000000000000000000,9E
311,6605140.00000000000000000000,B5
312,6605150.00000000000000000000,B1
