Id,Time[ns],Parallel: Items
1453,8495740.00000000000000000000,D1
1454,8498880.00000000000000000000,F9
1455,8498890.00000000000000000000,79
1456,8498900.00000000000000000000,39
1457,8502040.00000000000000000000,3F
1458,8502050.00000000000000000000,07
1459,8505190.00000000000000000000,27
1460,8508350.00000000000000000000,D7
1461,8511510.00000000000000000000,55
1462,8511520.00000000000000000000,15
1463,8514660.00000000000000000000,9F
1464,8517820.00000000000000000000,3F
1465,8520980.00000000000000000000,BE
1466,8520990.00000000000000000000,9E
1467,8524130.00000000000000000000,DF
1468,8524140.00000000000000000000,D5
1469,8527290.00000000000000000000,DF
1470,8527300.00000000000000000000,9B
1471,8530440.00000000000000000000,FB
1472,8530450.00000000000000000000,FE
1473,8530460.00000000000000000000,F6
1474,8533600.00000000000000000000,7E
1475,8533610.00000000000000000000,2C
1476,8536760.00000000000000000000,7F
1477,8536770.00000000000000000000,5F
1478,8539910.00000000000000000000,7F
1479,8539920.00000000000000000000,7A
1480,8539930.00000000000000000000,2A
1481,8543070.00000000000000000000,F6
1482,8543090.00000000000000000000,D6
1483,8546230.00000000000000000000,FD
1484,8546240.00000000000000000000,F9
1485,8546250.00000000000000000000,E9
1486,8549380.00000000000000000000,F9
1487,8549390.00000000000000000000,F8
1488,8549400.00000000000000000000,F0
1489,8552540.00000000000000000000,77
1490,8552550.00000000000000000000,37
1491,8555690.00000000000000000000,77
1492,8555700.00000000000000000000,D7
1493,8555710.00000000000000000000,D3
1494,8558850.00000000000000000000,FB
1495,8558860.00000000000000000000,AA
1496,8562010.00000000000000000000,AD
1497,8562020.00000000000000000000,8D
1498,8565160.00000000000000000000,FF
1499,8565170.00000000000000000000,73
1500,8565180.00000000000000000000,7B
1501,8565190.00000000000000000000,73
1502,8568320.00000000000000000000,F8
1503,8568330.00000000000000000000,B8
1504,8571480.00000000000000000000,BE
1505,8571490.00000000000000000000,9E
1506,8574630.00000000000000000000,BE
1507,8574640.00000000000000000000,22
1508,8577790.00000000000000000000,3C
1509,8577810.00000000000000000000,1C
1510,8580950.00000000000000000000,1E
1511,8580960.00000000000000000000,02
1512,8584100.00000000000000000000,91
1513,8587260.00000000000000000000,52
1514,8587270.00000000000000000000,42
1515,8590410.00000000000000000000,B2
1516,8590420.00000000000000000000,B1
1517,8593570.00000000000000000000,F3
1518,8593580.00000000000000000000,D3
1519,8596720.00000000000000000000,F3
1520,8596730.00000000000000000000,F6
1521,8596740.00000000000000000000,B6
1522,8599890.00000000000000000000,36
1523,8603040.00000000000000000000,BF
1524,8603050.00000000000000000000,8F
1525,8606200.00000000000000000000,8D
1526,8606210.00000000000000000000,85
1527,8609350.00000000000000000000,BF
1528,8609360.00000000000000000000,BE
1529,8612510.00000000000000000000,7F
1530,8612520.00000000000000000000,7B
1531,8612530.00000000000000000000,73
1532,8615660.00000000000000000000,77
1533,8615670.00000000000000000000,74
1534,8615680.00000000000000000000,64
1535,8618820.00000000000000000000,F4
1536,8618830.00000000000000000000,D4
1537,8621970.00000000000000000000,F4
1538,8621980.00000000000000000000,FD
1539,8625140.00000000000000000000,E1
1540,8625150.00000000000000000000,C1
1541,8628290.00000000000000000000,67
1542,8631440.00000000000000000000,6F
1543,8631450.00000000000000000000,CD
1544,8631460.00000000000000000000,C9
1545,8634600.00000000000000000000,6D
1546,8634610.00000000000000000000,6C
1547,8637760.00000000000000000000,3D
1548,8637770.00000000000000000000,11
1549,8640910.00000000000000000000,57
1550,8644070.00000000000000000000,7D
1551,8644080.00000000000000000000,3D
1552,8644090.00000000000000000000,2D
1553,8647220.00000000000000000000,6D
1554,8647230.00000000000000000000,6C
1555,8647240.00000000000000000000,40
1556,8650380.00000000000000000000,86
1557,8653540.00000000000000000000,2F
1558,8653550.00000000000000000000,2B
1559,8656690.00000000000000000000,6B
1560,8656700.00000000000000000000,6C
1561,8659850.00000000000000000000,EC
1562,8659860.00000000000000000000,AC
1563,8663010.00000000000000000000,FD
1564,8663020.00000000000000000000,F1
1565,8666160.00000000000000000000,F3
1566,8666170.00000000000000000000,93
1567,8669320.00000000000000000000,12
1568,8672480.00000000000000000000,95
1569,8675630.00000000000000000000,F7
1570,8675650.00000000000000000000,F3
1571,8678790.00000000000000000000,79
1572,8678800.00000000000000000000,69
1573,8681940.00000000000000000000,79
1574,8681950.00000000000000000000,FA
1575,8685100.00000000000000000000,CF
1576,8688260.00000000000000000000,6E
1577,8688270.00000000000000000000,6A
1578,8691410.00000000000000000000,7B
1579,8691420.00000000000000000000,79
1580,8691430.00000000000000000000,71
1581,8694570.00000000000000000000,F0
1582,8694580.00000000000000000000,B0
1583,8697720.00000000000000000000,F0
1584,8697730.00000000000000000000,FD
1585,8697740.00000000000000000000,ED
1586,8700880.00000000000000000000,EF
1587,8700890.00000000000000000000,26
1588,8704040.00000000000000000000,3E
1589,8704050.00000000000000000000,3A
1590,8707190.00000000000000000000,7A
1591,8707200.00000000000000000000,78
1592,8710350.00000000000000000000,79
1593,8710360.00000000000000000000,51
1594,8713510.00000000000000000000,D3
1595,8713520.00000000000000000000,83
1596,8716660.00000000000000000000,97
1597,8716670.00000000000000000000,15
1598,8719820.00000000000000000000,7E
1599,8719830.00000000000000000000,6E
1600,8722970.00000000000000000000,7E
1601,8722980.00000000000000000000,BF
1602,8722990.00000000000000000000,BB
1603,8726140.00000000000000000000,31
1604,8726150.00000000000000000000,21
1605,8729290.00000000000000000000,AA
1606,8729300.00000000000000000000,8A
1607,8732440.00000000000000000000,CA
1608,8732450.00000000000000000000,C8
1609,8735600.00000000000000000000,DC
1610,8735610.00000000000000000000,9C
1611,8738760.00000000000000000000,DC
1612,8738770.00000000000000000000,C8
1613,8741910.00000000000000000000,DC
1614,8741920.00000000000000000000,54
1615,8741930.00000000000000000000,14
1616,8745070.00000000000000000000,74
1617,8745080.00000000000000000000,60
1618,8748220.00000000000000000000,70
1619,8748230.00000000000000000000,73
1620,8751390.00000000000000000000,62
1621,8754540.00000000000000000000,ED
1622,8757690.00000000000000000000,EF
1623,8757700.00000000000000000000,2F
1624,8757710.00000000000000000000,07
1625,8760850.00000000000000000000,7E
1626,8764010.00000000000000000000,FE
1627,8764020.00000000000000000000,CA
1628,8767170.00000000000000000000,C2
1629,8773480.00000000000000000000,C8
1630,8776630.00000000000000000000,59
1631,8776650.00000000000000000000,51
1632,8779790.00000000000000000000,7C
1633,8779800.00000000000000000000,3C
1634,8779810.00000000000000000000,2C
1635,8782940.00000000000000000000,AE
1636,8782960.00000000000000000000,A6
1637,8786100.00000000000000000000,EE
1638,8786110.00000000000000000000,CE
1639,8789260.00000000000000000000,7D
1640,8789270.00000000000000000000,79
1641,8792410.00000000000000000000,BD
1642,8792420.00000000000000000000,BC
1643,8795570.00000000000000000000,7C
1644,8795580.00000000000000000000,74
1645,8795590.00000000000000000000,70
1646,8798730.00000000000000000000,C2
1647,8801880.00000000000000000000,C6
1648,8801890.00000000000000000000,04
1649,8805040.00000000000000000000,34
1650,8805050.00000000000000000000,30
1651,8808190.00000000000000000000,74
1652,8808200.00000000000000000000,F5
1653,8811350.00000000000000000000,7D
1654,8811360.00000000000000000000,5C
1655,8814520.00000000000000000000,18
1656,8817660.00000000000000000000,A9
1657,8817670.00000000000000000000,A1
1658,8820820.00000000000000000000,76
1659,8823980.00000000000000000000,BF
1660,8823990.00000000000000000000,9F
1661,8827130.00000000000000000000,DF
1662,8827140.00000000000000000000,57
1663,8827150.00000000000000000000,53
1664,8830290.00000000000000000000,FA
1665,8833450.00000000000000000000,A8
1666,8836600.00000000000000000000,6E
1667,8839760.00000000000000000000,7E
1668,8839770.00000000000000000000,1E
1669,8842910.00000000000000000000,BE
1670,8846070.00000000000000000000,FD
1671,8846080.00000000000000000000,ED
1672,8849220.00000000000000000000,FD
1673,8849230.00000000000000000000,FE
1674,8849240.00000000000000000000,BE
1675,8852380.00000000000000000000,BF
1676,8852390.00000000000000000000,A1
1677,8855540.00000000000000000000,2A
1678,8855550.00000000000000000000,0A
1679,8858690.00000000000000000000,3A
1680,8858700.00000000000000000000,3B
1681,8858710.00000000000000000000,33
1682,8861850.00000000000000000000,3B
1683,8861860.00000000000000000000,0A
1684,8865010.00000000000000000000,FC
1685,8868160.00000000000000000000,FE
1686,8868170.00000000000000000000,D2
1687,8868180.00000000000000000000,92
1688,8871320.00000000000000000000,3E
1689,8871330.00000000000000000000,2E
1690,8874470.00000000000000000000,3E
1691,8874480.00000000000000000000,1E
1692,8877630.00000000000000000000,F6
1693,8877640.00000000000000000000,FE
1694,8877650.00000000000000000000,F6
1695,8880790.00000000000000000000,74
1696,8880800.00000000000000000000,64
1697,8883940.00000000000000000000,76
1698,8883950.00000000000000000000,57
1699,8887100.00000000000000000000,7F
1700,8887120.00000000000000000000,3B
1701,8890260.00000000000000000000,6A
1702,8890270.00000000000000000000,42
1703,8893410.00000000000000000000,43
1704,8893420.00000000000000000000,41
1705,8896570.00000000000000000000,63
1706,8896580.00000000000000000000,23
1707,8899720.00000000000000000000,73
1708,8899730.00000000000000000000,F0
1709,8899740.00000000000000000000,D0
1710,8902880.00000000000000000000,73
1711,8902890.00000000000000000000,33
1712,8906040.00000000000000000000,F3
1713,8906050.00000000000000000000,C3
1714,8909190.00000000000000000000,BB
1715,8909200.00000000000000000000,F8
1716,8909210.00000000000000000000,B8
1717,8912350.00000000000000000000,7B
1718,8915510.00000000000000000000,FA
1719,8915520.00000000000000000000,CA
1720,8918660.00000000000000000000,9F
1721,8921820.00000000000000000000,3E
1722,8921830.00000000000000000000,26
1723,8924970.00000000000000000000,66
1724,8924980.00000000000000000000,6F
1725,8928130.00000000000000000000,7F
1726,8928140.00000000000000000000,1F
1727,8931290.00000000000000000000,DF
1728,8931300.00000000000000000000,C7
1729,8934440.00000000000000000000,BF
1730,8934450.00000000000000000000,3B
1731,8937600.00000000000000000000,F1
1732,8940760.00000000000000000000,FC
1733,8940770.00000000000000000000,8C
1734,8943910.00000000000000000000,FD
1735,8943920.00000000000000000000,75
1736,8947070.00000000000000000000,7E
1737,8947080.00000000000000000000,2E
1738,8950220.00000000000000000000,7E
1739,8950230.00000000000000000000,7D
1740,8950240.00000000000000000000,79
1741,8953380.00000000000000000000,DF
1742,8953390.00000000000000000000,D7
1743,8956540.00000000000000000000,DE
1744,8956550.00000000000000000000,9E
1745,8959690.00000000000000000000,BE
1746,8959700.00000000000000000000,3F
1747,8959710.00000000000000000000,37
1748,8962850.00000000000000000000,BB
1749,8966010.00000000000000000000,BA
1750,8966020.00000000000000000000,A2
1751,8969160.00000000000000000000,CF
1752,8969170.00000000000000000000,6F
1753,8969180.00000000000000000000,4F
1754,8972320.00000000000000000000,F5
1755,8972330.00000000000000000000,FD
1756,8972340.00000000000000000000,F5
1757,8975470.00000000000000000000,FD
1758,8975480.00000000000000000000,BD
1759,8978630.00000000000000000000,FF
1760,8978640.00000000000000000000,4E
1761,8981790.00000000000000000000,4C
1762,8981800.00000000000000000000,00
1763,8984940.00000000000000000000,A0
1764,8984950.00000000000000000000,AD
1765,8988100.00000000000000000000,BF
1766,8988120.00000000000000000000,B7
1767,8991250.00000000000000000000,F7
1768,8991260.00000000000000000000,FE
1769,8994410.00000000000000000000,FF
1770,8994420.00000000000000000000,29
1771,8997570.00000000000000000000,28
1772,9000720.00000000000000000000,68
1773,9000730.00000000000000000000,6D
1774,9003880.00000000000000000000,6F
1775,9003890.00000000000000000000,66
1776,9007040.00000000000000000000,7E
1777,9007050.00000000000000000000,1E
1778,9010190.00000000000000000000,EE
1779,9010200.00000000000000000000,ED
1780,9010210.00000000000000000000,E9
1781,9013350.00000000000000000000,FD
1782,9013360.00000000000000000000,DD
1783,9013370.00000000000000000000,9D
1784,9016510.00000000000000000000,BF
1785,9016520.00000000000000000000,A3
1786,9019660.00000000000000000000,AB
1787,9022820.00000000000000000000,2E
1788,9022830.00000000000000000000,26
1789,9025970.00000000000000000000,66
1790,9025980.00000000000000000000,ED
1791,9029140.00000000000000000000,C4
1792,9032290.00000000000000000000,DF
1793,9032300.00000000000000000000,DB
1794,9035440.00000000000000000000,DF
1795,9035450.00000000000000000000,DE
1796,9035460.00000000000000000000,D6
1797,9038600.00000000000000000000,DC
1798,9038620.00000000000000000000,CC
1799,9041750.00000000000000000000,EC
1800,9041760.00000000000000000000,6D
1801,9041770.00000000000000000000,61
1802,9044910.00000000000000000000,EB
1803,9044920.00000000000000000000,8A
1804,9048070.00000000000000000000,4B
1805,9051220.00000000000000000000,7B
1806,9051230.00000000000000000000,F8
1807,9051240.00000000000000000000,F0
1808,9054380.00000000000000000000,F1
1809,9054390.00000000000000000000,91
1810,9057540.00000000000000000000,DC
1811,9057550.00000000000000000000,CC
1812,9060690.00000000000000000000,EF
1813,9060700.00000000000000000000,E7
1814,9063850.00000000000000000000,ED
1815,9063860.00000000000000000000,C9
1816,9067010.00000000000000000000,8D
1817,9067020.00000000000000000000,85
1818,9070160.00000000000000000000,A5
1819,9070180.00000000000000000000,A1
1820,9073320.00000000000000000000,FB
1821,9073340.00000000000000000000,DB
1822,9076480.00000000000000000000,DA
1823,9076490.00000000000000000000,92
1824,9079630.00000000000000000000,9D
1825,9082790.00000000000000000000,1F
1826,9082800.00000000000000000000,0F
1827,9085940.00000000000000000000,3F
1828,9085950.00000000000000000000,38
1829,9089100.00000000000000000000,3B
1830,9089110.00000000000000000000,2B
1831,9092250.00000000000000000000,3B
1832,9092270.00000000000000000000,13
1833,9095410.00000000000000000000,07
1834,9095420.00000000000000000000,15
1835,9095430.00000000000000000000,05
1836,9098570.00000000000000000000,46
1837,9098580.00000000000000000000,42
1838,9101720.00000000000000000000,72
1839,9101730.00000000000000000000,7B
1840,9104880.00000000000000000000,F7
1841,9108040.00000000000000000000,7E
1842,9108050.00000000000000000000,6E
1843,9111190.00000000000000000000,6F
1844,9111200.00000000000000000000,2D
1845,9114350.00000000000000000000,2E
1846,9114360.00000000000000000000,0A
1847,9117500.00000000000000000000,5A
1848,9117510.00000000000000000000,78
1849,9117520.00000000000000000000,70
1850,9120660.00000000000000000000,F2
1851,9120670.00000000000000000000,B2
1852,9123820.00000000000000000000,77
1853,9123830.00000000000000000000,57
1854,9126970.00000000000000000000,D7
1855,9126980.00000000000000000000,85
1856,9130130.00000000000000000000,8F
1857,9130150.00000000000000000000,8B
1858,9133290.00000000000000000000,DD
1859,9133300.00000000000000000000,D5
1860,9136440.00000000000000000000,F7
1861,9136450.00000000000000000000,77
1862,9136460.00000000000000000000,27
1863,9139600.00000000000000000000,EF
1864,9139610.00000000000000000000,CF
1865,9142760.00000000000000000000,4F
1866,9142770.00000000000000000000,07
1867,9145920.00000000000000000000,01
1868,9149070.00000000000000000000,96
1869,9152220.00000000000000000000,BE
1870,9152230.00000000000000000000,39
1871,9155380.00000000000000000000,B9
1872,9155390.00000000000000000000,89
1873,9158540.00000000000000000000,EC
1874,9158550.00000000000000000000,E4
1875,9161690.00000000000000000000,EF
1876,9161700.00000000000000000000,6F
1877,9161710.00000000000000000000,2B
1878,9164850.00000000000000000000,B9
1879,9164860.00000000000000000000,91
1880,9168000.00000000000000000000,D1
1881,9168010.00000000000000000000,D8
1882,9168020.00000000000000000000,C8
1883,9171160.00000000000000000000,F4
1884,9171170.00000000000000000000,FC
1885,9171180.00000000000000000000,B4
1886,9174320.00000000000000000000,FD
1887,9177480.00000000000000000000,ED
1888,9177490.00000000000000000000,E9
1889,9180630.00000000000000000000,79
1890,9180640.00000000000000000000,59
1891,9183790.00000000000000000000,7B
1892,9186940.00000000000000000000,7F
1893,9186950.00000000000000000000,0E
1894,9190100.00000000000000000000,33
1895,9193260.00000000000000000000,AB
1896,9196420.00000000000000000000,8A
1897,9199570.00000000000000000000,0B
1898,9202720.00000000000000000000,2B
1899,9202730.00000000000000000000,28
1900,9205880.00000000000000000000,BA
1901,9205890.00000000000000000000,9A
1902,9209040.00000000000000000000,7D
1903,9209050.00000000000000000000,75
1904,9212190.00000000000000000000,F7
1905,9212200.00000000000000000000,86
1906,9215350.00000000000000000000,5C
1907,9215360.00000000000000000000,58
1908,9218500.00000000000000000000,78
1909,9218510.00000000000000000000,F9
1910,9218520.00000000000000000000,F1
1911,9221660.00000000000000000000,F3
1912,9221670.00000000000000000000,23
1913,9224820.00000000000000000000,36
1914,9227980.00000000000000000000,06
1915,9227990.00000000000000000000,02
1916,9231130.00000000000000000000,D2
1917,9234290.00000000000000000000,54
1918,9234300.00000000000000000000,14
1919,9237440.00000000000000000000,FC
1920,9240600.00000000000000000000,FF
1921,9240610.00000000000000000000,E7
1922,9243760.00000000000000000000,69
1923,9243770.00000000000000000000,09
1924,9246910.00000000000000000000,C7
1925,9246920.00000000000000000000,CE
1926,9246930.00000000000000000000,C6
1927,9250070.00000000000000000000,67
1928,9253220.00000000000000000000,6F
1929,9253230.00000000000000000000,6E
1930,9253240.00000000000000000000,4E
1931,9253250.00000000000000000000,4A
1932,9256380.00000000000000000000,75
1933,9256400.00000000000000000000,35
1934,9259540.00000000000000000000,B4
1935,9259550.00000000000000000000,A4
1936,9262690.00000000000000000000,BF
1937,9262710.00000000000000000000,BB
1938,9265850.00000000000000000000,3F
1939,9265860.00000000000000000000,37
1940,9269000.00000000000000000000,77
1941,9269010.00000000000000000000,7C
1942,9269020.00000000000000000000,4C
1943,9272160.00000000000000000000,EE
1944,9272170.00000000000000000000,E2
1945,9272180.00000000000000000000,A2
1946,9275320.00000000000000000000,26
1947,9278470.00000000000000000000,76
1948,9278480.00000000000000000000,FD
1949,9278490.00000000000000000000,F9
1950,9281630.00000000000000000000,FB
1951,9281640.00000000000000000000,D3
1952,9284790.00000000000000000000,F3
1953,9284810.00000000000000000000,B3
1954,9287940.00000000000000000000,FF
1955,9287950.00000000000000000000,FD
1956,9291100.00000000000000000000,FC
1957,9291110.00000000000000000000,B4
1958,9294260.00000000000000000000,3C
1959,9294270.00000000000000000000,1C
1960,9297410.00000000000000000000,5E
1961,9297420.00000000000000000000,52
1962,9300570.00000000000000000000,7C
1963,9300580.00000000000000000000,3C
1964,9303720.00000000000000000000,BC
1965,9303730.00000000000000000000,AD
1966,9303740.00000000000000000000,A1
1967,9306880.00000000000000000000,ED
1968,9310030.00000000000000000000,FD
1969,9310040.00000000000000000000,7C
1970,9310050.00000000000000000000,54
1971,9313190.00000000000000000000,7D
1972,9313210.00000000000000000000,79
1973,9316350.00000000000000000000,7A
1974,9319510.00000000000000000000,88
1975,9319520.00000000000000000000,80
1976,9322660.00000000000000000000,F9
1977,9325820.00000000000000000000,FE
1978,9325840.00000000000000000000,DE
1979,9328980.00000000000000000000,02
1980,9332130.00000000000000000000,2B
1981,9335290.00000000000000000000,2F
1982,9338440.00000000000000000000,AF
1983,9338450.00000000000000000000,A6
1984,9341600.00000000000000000000,6D
1985,9341610.00000000000000000000,49
1986,9344750.00000000000000000000,69
1987,9344760.00000000000000000000,6C
1988,9347910.00000000000000000000,ED
1989,9347920.00000000000000000000,A1
1990,9351070.00000000000000000000,EA
1991,9351080.00000000000000000000,CA
1992,9354220.00000000000000000000,AE
1993,9354230.00000000000000000000,6C
1994,9354240.00000000000000000000,2C
1995,9357380.00000000000000000000,6F
1996,9357390.00000000000000000000,4B
1997,9360540.00000000000000000000,6B
1998,9360550.00000000000000000000,23
1999,9363690.00000000000000000000,C3
2000,9366850.00000000000000000000,FB
2001,9366860.00000000000000000000,BB
2002,9370010.00000000000000000000,9B
2003,9373160.00000000000000000000,9D
2004,9373170.00000000000000000000,9C
2005,9376320.00000000000000000000,7E
2006,9376330.00000000000000000000,72
2007,9379470.00000000000000000000,7A
2008,9379480.00000000000000000000,78
2009,9379490.00000000000000000000,68
2010,9382630.00000000000000000000,FE
2011,9382640.00000000000000000000,96
2012,9385790.00000000000000000000,97
2013,9388940.00000000000000000000,FF
2014,9388950.00000000000000000000,FE
2015,9392110.00000000000000000000,A2
2016,9395250.00000000000000000000,B2
2017,9395260.00000000000000000000,B8
2018,9395270.00000000000000000000,98
2019,9398410.00000000000000000000,19
2020,9398420.00000000000000000000,09
2021,9401570.00000000000000000000,BD
2022,9404720.00000000000000000000,FF
2023,9404730.00000000000000000000,EF
2024,9407880.00000000000000000000,6F
2025,9407890.00000000000000000000,2A
2026,9411040.00000000000000000000,AD
2027,9411050.00000000000000000000,A5
2028,9414190.00000000000000000000,B7
2029,9414200.00000000000000000000,B3
2030,9417350.00000000000000000000,79
2031,9417360.00000000000000000000,49
2032,9420500.00000000000000000000,79
2033,9420510.00000000000000000000,7B
2034,9423660.00000000000000000000,FB
2035,9423670.00000000000000000000,E3
2036,9426820.00000000000000000000,75
2037,9426830.00000000000000000000,35
2038,9429970.00000000000000000000,FF
2039,9429980.00000000000000000000,FE
2040,9433130.00000000000000000000,FC
2041,9433140.00000000000000000000,E0
2042,9436290.00000000000000000000,C3
2043,9439440.00000000000000000000,E7
2044,9439450.00000000000000000000,E6
2045,9442600.00000000000000000000,74
2046,9442610.00000000000000000000,34
2047,9445750.00000000000000000000,74
2048,9445760.00000000000000000000,E4
2049,9445770.00000000000000000000,E0
2050,9448910.00000000000000000000,78
2051,9448920.00000000000000000000,58
2052,9452070.00000000000000000000,D8
2053,9455220.00000000000000000000,F8
2054,9455230.00000000000000000000,B0
2055,9455240.00000000000000000000,A0
2056,9458380.00000000000000000000,E7
2057,9461530.00000000000000000000,F7
2058,9461540.00000000000000000000,F5
2059,9461550.00000000000000000000,91
2060,9464690.00000000000000000000,E7
2061,9464700.00000000000000000000,F6
2062,9464710.00000000000000000000,E6
2063,9467850.00000000000000000000,F6
2064,9467860.00000000000000000000,D6
2065,9471000.00000000000000000000,FE
2066,9471010.00000000000000000000,7E
2067,9471020.00000000000000000000,6E
2068,9474160.00000000000000000000,FE
2069,9474170.00000000000000000000,DA
2070,9477320.00000000000000000000,5F
2071,9480470.00000000000000000000,DF
2072,9480480.00000000000000000000,CD
2073,9480490.00000000000000000000,C1
2074,9483630.00000000000000000000,F0
2075,9486790.00000000000000000000,76
2076,9486800.00000000000000000000,16
2077,9489940.00000000000000000000,76
2078,9489960.00000000000000000000,72
2079,9493100.00000000000000000000,F0
2080,9493110.00000000000000000000,E0
2081,9496250.00000000000000000000,F2
2082,9496260.00000000000000000000,BF
2083,9499410.00000000000000000000,FD
2084,9499420.00000000000000000000,F5
2085,9499430.00000000000000000000,D5
2086,9502570.00000000000000000000,FE
2087,9502580.00000000000000000000,EA
2088,9505720.00000000000000000000,EB
2089,9505730.00000000000000000000,61
2090,9505740.00000000000000000000,21
2091,9508880.00000000000000000000,A7
2092,9508890.00000000000000000000,87
2093,9512030.00000000000000000000,97
2094,9512040.00000000000000000000,1F
2095,9515190.00000000000000000000,DF
2096,9515210.00000000000000000000,D7
2097,9518350.00000000000000000000,DE
2098,9518360.00000000000000000000,DA
2099,9518370.00000000000000000000,9A
2100,9521500.00000000000000000000,FA
2101,9521510.00000000000000000000,F9
2102,9524660.00000000000000000000,FD
2103,9524670.00000000000000000000,8C
2104,9527820.00000000000000000000,CE
2105,9527830.00000000000000000000,C6
2106,9530970.00000000000000000000,C7
2107,9530980.00000000000000000000,85
2108,9534130.00000000000000000000,C7
2109,9537290.00000000000000000000,4F
2110,9537300.00000000000000000000,4B
2111,9540440.00000000000000000000,5B
2112,9540450.00000000000000000000,59
2113,9543600.00000000000000000000,5F
2114,9543610.00000000000000000000,17
2115,9546750.00000000000000000000,9F
2116,9546760.00000000000000000000,9C
2117,9549910.00000000000000000000,DC
2118,9549930.00000000000000000000,D4
2119,9553070.00000000000000000000,76
2120,9553080.00000000000000000000,22
2121,9556220.00000000000000000000,B2
2122,9556230.00000000000000000000,90
2123,9559380.00000000000000000000,94
2124,9562540.00000000000000000000,9C
2125,9562550.00000000000000000000,98
2126,9565690.00000000000000000000,AA
2127,9565700.00000000000000000000,2A
2128,9568850.00000000000000000000,78
2129,9572000.00000000000000000000,FA
2130,9572010.00000000000000000000,8A
2131,9575160.00000000000000000000,58
2132,9578320.00000000000000000000,5D
2133,9578330.00000000000000000000,4D
2134,9581470.00000000000000000000,4F
2135,9581480.00000000000000000000,4E
2136,9584630.00000000000000000000,69
2137,9584640.00000000000000000000,6D
2138,9584650.00000000000000000000,69
2139,9587790.00000000000000000000,EE
2140,9587800.00000000000000000000,E6
2141,9590940.00000000000000000000,3F
2142,9590950.00000000000000000000,3D
2143,9594100.00000000000000000000,BE
2144,9594110.00000000000000000000,BA
2145,9597260.00000000000000000000,B1
2146,9600410.00000000000000000000,3B
2147,9603570.00000000000000000000,BE
2148,9603580.00000000000000000000,86
2149,9606720.00000000000000000000,96
2150,9606730.00000000000000000000,94
2151,9609880.00000000000000000000,35
2152,9613040.00000000000000000000,96
2153,9613050.00000000000000000000,92
2154,9616190.00000000000000000000,56
2155,9616200.00000000000000000000,54
2156,9619350.00000000000000000000,DE
2157,9622510.00000000000000000000,0D
2158,9625660.00000000000000000000,35
2159,9625670.00000000000000000000,34
2160,9628820.00000000000000000000,77
2161,9628830.00000000000000000000,57
2162,9631970.00000000000000000000,6F
2163,9631980.00000000000000000000,3F
2164,9631990.00000000000000000000,2F
2165,9635130.00000000000000000000,2C
2166,9635140.00000000000000000000,24
2167,9638280.00000000000000000000,74
2168,9638290.00000000000000000000,77
2169,9641450.00000000000000000000,70
2170,9641460.00000000000000000000,30
2171,9644600.00000000000000000000,70
2172,9647750.00000000000000000000,78
2173,9647760.00000000000000000000,18
2174,9650910.00000000000000000000,AB
2175,9654070.00000000000000000000,7F
2176,9654080.00000000000000000000,5F
2177,9657220.00000000000000000000,7F
2178,9657230.00000000000000000000,7D
2179,9657240.00000000000000000000,75
2180,9660380.00000000000000000000,FE
2181,9660390.00000000000000000000,DA
2182,9663540.00000000000000000000,5E
2183,9663550.00000000000000000000,06
2184,9666690.00000000000000000000,87
2185,9669850.00000000000000000000,9D
2186,9673000.00000000000000000000,DF
2187,9673010.00000000000000000000,5F
2188,9673020.00000000000000000000,47
2189,9676160.00000000000000000000,46
2190,9679320.00000000000000000000,FC
2191,9682480.00000000000000000000,C8
2192,9685630.00000000000000000000,5B
2193,9685640.00000000000000000000,13
2194,9688790.00000000000000000000,0B
2195,9691940.00000000000000000000,BB
2196,9691950.00000000000000000000,BA
2197,9695100.00000000000000000000,7E
2198,9695110.00000000000000000000,6E
2199,9695120.00000000000000000000,4E
2200,9698250.00000000000000000000,CE
2201,9698260.00000000000000000000,8E
2202,9698270.00000000000000000000,82
2203,9701410.00000000000000000000,33
2204,9704570.00000000000000000000,B0
2205,9704580.00000000000000000000,90
2206,9707720.00000000000000000000,C1
2207,9707730.00000000000000000000,51
2208,9707740.00000000000000000000,41
2209,9710880.00000000000000000000,F3
2210,9714040.00000000000000000000,70
2211,9714050.00000000000000000000,30
2212,9717190.00000000000000000000,F0
2213,9720350.00000000000000000000,F3
2214,9720360.00000000000000000000,D3
2215,9723500.00000000000000000000,EF
2216,9723510.00000000000000000000,FC
2217,9723520.00000000000000000000,EC
2218,9726660.00000000000000000000,6C
2219,9726670.00000000000000000000,40
2220,9729810.00000000000000000000,50
2221,9729820.00000000000000000000,99
2222,9732970.00000000000000000000,E9
2223,9732980.00000000000000000000,79
2224,9732990.00000000000000000000,69
2225,9736130.00000000000000000000,E5
2226,9736140.00000000000000000000,C5
2227,9739290.00000000000000000000,CC
2228,9739300.00000000000000000000,88
2229,9742440.00000000000000000000,22
2230,9745600.00000000000000000000,37
2231,9748750.00000000000000000000,3F
2232,9748760.00000000000000000000,3D
2233,9751910.00000000000000000000,BF
2234,9751920.00000000000000000000,9B
2235,9755070.00000000000000000000,1E
2236,9755080.00000000000000000000,0E
2237,9758220.00000000000000000000,5E
2238,9758230.00000000000000000000,5C
2239,9758240.00000000000000000000,50
2240,9761380.00000000000000000000,F4
2241,9764540.00000000000000000000,C6
